Term,Definition
multi-functional grip menu options,Editing options accessible from the grip menu that appears when you hover over an object grip.
multileader,A leader object that creates annotations that can have multiple leader lines.
multi-sheet DWF,A DWF file that contains multiple sheets.
My Location indicator,An indicator in model space that shows your current location in GPS-enabled systems.
named object,"Various types of nongraphical information stored with a drawing, including linetypes, layers, dimension styles, text styles, block definitions, layouts, and views."
named objects dependent,See dependent named objects (in xrefs).
named path,A saved motion path object that is linked to a camera or target.
named range,A tool in Microsoft Excel that provides a method to assign a meaningful name to a single cell or a range of cells.
named view,A view saved that can be restored later. (VIEW)
navigation bar,"Navigation tools common across multiple Autodesk products on Windows, including ViewCube, SteeringWheels, ShowMotion, and 3Dconnexion."
node,"A type of object snap that locates point objects, dimension definition points, and text origin points."
non-associative dimension,A dimension that does not automatically change as the associated geometry is modified. (DIMASSOC system variable)
normal,"A vector that defines the direction a face is pointing, orthogonal to its surface; indicates the front or outer surface of the face."
noun-verb selection,Selecting an object first and then performing an operation on it rather than entering a command first and then selecting the object.
NURBS,For nonuniform rational B-spline curve. A B-spline curve or surface defined by a series of weighted control points and one or more knot vectors.
NURBS surface,A smoothly joined set of four-sided patches defined by NURBS curves located along and across the surface in U and V directions.
object,"One or more graphical elements such as text, dimensions, lines, circles, or polylines, treated as a single element; formerly called entity."
ObjectARX (Runtime Extensions),A compiled-language programming environment that runs under Windows used for developing product-specific applications and extensions.
object enabler,A tool that provides viewing and standard editing access to a custom object when the ObjectARX application is not present.
Object Snap mode,A method for specifying commonly needed point locations on an object when creating or editing objects.
object snap override,Turning off or changing a running Object Snap mode for input of a single point.
OLE,For object linking and embedding. An information-sharing method where data from a source document can be linked to or embedded in a destination document.
online,Content and applications accessible from the internet.
opacity map,"Projection of opaque and transparent areas onto objects, creating the effect of a solid surface with holes or gaps."
origin,"The point where coordinate axes intersect, e.g., where X, Y, and Z axes meet at 0,0,0."
orthogonal,An orientation of two objects when they have perpendicular slopes or tangents at the point of their intersection.
Ortho mode,A setting that limits pointing device input to horizontal or vertical directions relative to the current snap angle and user coordinate system.
output property,A lookup property whose value is determined by input properties through the use of a lookup table.
page setup,A collection of plot device and other settings that affect the appearance and format of the final output.
palette,"A Windows-specific user interface element that can be docked, anchored, or floating in the drawing area."
pan,To shift the view of a drawing without changing magnification. (PAN)
paper space,"One of two primary spaces in which objects reside, used for creating a finished layout for printing or plotting. (PSPACE)"
parameter,"In a dynamic block definition, defines custom properties for the dynamic block by specifying positions, distances, and angles for geometry."
parameter set,A tool that adds one or more parameters and one or more associated actions to the dynamic block definition.
parametric design,Ability to establish relationships between objects and drive the size and orientation of geometry with model and user-defined parameters.
parametric drawing,"A feature that assigns constraints to objects, establishing the distance, location, and orientation of objects with respect to other objects."
partial customization file,Any CUI file not defined as the main CUI file; can be loaded and unloaded as needed during a drawing session.
path curve,"Defines the direction and length that a profile curve is lofted, swept, or extruded to create a 3D solid or surface."
PC3 file,"Partial plotter configuration file containing plot settings information such as device driver, model, and output port."
performance tuning,A method of optimizing 3D graphics performance by examining your graphics card and 3D display driver.
periodic curve,"A smooth, closed curve such as a circle whose control vertices are not tangent to the object, staying smooth if reshaped."
periodic surface,"A smooth, closed surface such as a cylinder whose control vertices are not tangent to the object, staying smooth if reshaped."
perspective view,"Objects in 3D seen by an observer at the viewpoint looking at the view center, where objects appear smaller as the distance increases."
photometric lights,Physically-correct lights that attenuate as the square of the distance; photometry measures visible light in terms of perceived brightness.
photon map,A technique to generate indirect illumination effects of global illumination by tracing photons emitted from a light through the model.
photorealistic rendering,Rendering that resembles a photograph.
pick button,The button on a pointing device used to select objects or specify points on the screen; the left button on a two-button mouse by default.
pick-first,The selection of objects before a command is entered or action macro starts.
pick-first set,A selection set of objects selected prior to the execution of an action macro or a command.
pick points,The selection of objects before a command is entered or action macro starts.
planar face,A flat face that can be located anywhere in 3D space.
planar projection,Mapping objects or images onto a plane.
planar surface,A flat surface that can be located anywhere in 3D space. (PLANESURF)
plan view,"A view orientation from a point on the positive Z axis toward the origin (0,0,0). (PLAN)"
playback,The process of executing the actions stored in a previously recorded action macro.
pline,See polyline.
plot style,"An object property that specifies a set of overrides for color, dithering, gray scale, pen assignments, and other settings, applied at plot time."
plot style table,"A set of plot styles defined in tables, applying to objects when the table is attached to a layout or viewport."
plug-ins,See Add-ins.
PMP file,Plot Model Parameter file containing custom plotter calibration and custom paper size information associated with a plotter configuration file.
point,"1. A location in 3D space specified by X, Y, and Z coordinate values. 2. An object consisting of a single coordinate location. (POINT)"
point cloud,"A large collection of points placed in model space that create a 3D representation of objects, geographic features, or areas."
point cloud segmentation,"The process of identifying groups of points in a point cloud that represent different surfaces, occurring during indexing of scan files in Autodesk ReCap."
pointer,A cursor on a video display screen that can be moved to place textual or graphical information.
point filters,See coordinate filters.
polar array,Objects copied around a specified center point a specified number of times. (ARRAY)
Polar Snap,A precision drawing tool used to snap to incremental distances along the polar tracking alignment path.
polar tracking,A precision drawing tool that displays temporary alignment paths defined by user-specified polar angles.
